timestamp,close
2026-01-01T00:00:00Z,100
2026-01-02T00:00:00Z,101
2026-01-03T00:00:00Z,102
2026-01-04T00:00:00Z,103
2026-01-05T00:00:00Z,104
2026-01-06T00:00:00Z,105
2026-01-07T00:00:00Z,106
2026-01-08T00:00:00Z,107
2026-01-09T00:00:00Z,108
2026-01-10T00:00:00Z,109
2026-01-11T00:00:00Z,110
2026-01-12T00:00:00Z,111
2026-01-13T00:00:00Z,112
2026-01-14T00:00:00Z,113
2026-01-15T00:00:00Z,114
2026-01-16T00:00:00Z,115
2026-01-17T00:00:00Z,114
2026-01-18T00:00:00Z,113
2026-01-19T00:00:00Z,112
2026-01-20T00:00:00Z,111
2026-01-21T00:00:00Z,110
2026-01-22T00:00:00Z,109
2026-01-23T00:00:00Z,108
2026-01-24T00:00:00Z,107
2026-01-25T00:00:00Z,106
2026-01-26T00:00:00Z,105
2026-01-27T00:00:00Z,106
2026-01-28T00:00:00Z,108
2026-01-29T00:00:00Z,107
2026-01-30T00:00:00Z,109
2026-01-31T00:00:00Z,108
2026-02-01T00:00:00Z,110
2026-02-02T00:00:00Z,109
2026-02-03T00:00:00Z,111
2026-02-04T00:00:00Z,110
2026-02-05T00:00:00Z,112
2026-02-06T00:00:00Z,111
2026-02-07T00:00:00Z,113
2026-02-08T00:00:00Z,114
2026-02-09T00:00:00Z,115
